email,rec,elen,attch,slen,spam
avi328@outlook.com,18,111,0,46,1
david248@me.com,4,124,0,11,0
david267@outlook.com,6,249,0,16,0
avi173@gmail.com,4,124,1,12,0
tamar318@outlook.com,5,51,0,11,0
david352@me.com,5,92,0,16,0
efi431@aws.com,1,127,1,16,0
david237@me.com,18,214,0,17,1
eli255@google.com,3,146,0,18,0
david430@me.com,2,207,0,18,0
tamar29@gmail.com,2,1066,1,20,1
avi348@me.com,4,173,1,17,0
efi328@outlook.com,6,50,1,16,0
david305@gmail.com,3,99,0,16,0
efi433@aws.com,5,228,0,20,0
eli303@aws.com,3,174,0,13,0
tamar157@me.com,5,231,1,14,0
tamar425@google.com,1,362,0,15,1
efi73@outlook.com,21,138,0,61,1
efi252@outlook.com,4,73,1,10,0
eli238@me.com,5,183,1,17,0
avi411@google.com,3,179,0,10,0
eli293@gmail.com,5,97,0,18,0
tamar415@gmail.com,6,148,0,20,0
avi409@google.com,4,105,0,20,0
avi51@outlook.com,5,230,0,16,0
david310@outlook.com,3,26,1,20,1
avi351@google.com,24,221,1,14,1
david383@me.com,2,220,0,20,0
david227@gmail.com,2,214,0,13,0
tamar30@outlook.com,1,689,0,19,1
eli168@outlook.com,1,306,1,16,1
avi357@aws.com,4,161,0,11,0
eli372@gmail.com,5,89,1,15,0
avi333@me.com,4,56,0,11,0
avi333@outlook.com,6,166,0,19,0
avi250@outlook.com,2,554,0,18,1
eli124@google.com,12,143,1,62,1
efi69@gmail.com,1,871,0,18,1
david20@outlook.com,2,942,0,12,1
eli432@me.com,6,220,0,19,0
efi215@outlook.com,21,177,1,15,1
david344@google.com,6,181,0,15,0
avi227@me.com,2,123,0,13,0
avi44@google.com,23,203,1,37,1
avi26@gmail.com,5,217,1,16,0
avi331@outlook.com,2,804,0,17,1
avi250@aws.com,4,61,0,18,0
david374@gmail.com,1,213,0,13,0
eli20@aws.com,21,224,1,28,1
david395@google.com,2,42,0,11,1
david126@gmail.com,1,152,0,12,0
efi75@aws.com,21,111,0,11,1
tamar250@me.com,1,21,1,20,1
david453@aws.com,6,59,1,10,0
avi449@gmail.com,1,155,0,14,0
efi81@google.com,6,70,0,20,0
efi125@gmail.com,5,65,1,19,0
eli272@google.com,4,12,1,19,1
efi367@outlook.com,1,151,1,15,0
tamar140@outlook.com,5,250,0,12,0
david454@aws.com,6,101,1,17,0
avi217@aws.com,1,10,0,14,1
efi58@outlook.com,1,740,1,11,1
david232@google.com,22,134,1,53,1
eli398@google.com,3,234,1,13,0
efi323@google.com,5,236,1,18,0
avi259@outlook.com,3,121,0,15,0
david310@google.com,3,122,1,17,0
eli393@gmail.com,1,933,0,11,1
tamar377@outlook.com,5,242,0,16,0
eli161@gmail.com,6,51,1,12,0
tamar349@outlook.com,2,59,0,19,0
david49@me.com,6,128,0,12,0
efi126@aws.com,11,90,1,16,1
tamar32@me.com,2,43,1,16,1
avi339@gmail.com,24,52,0,44,1
eli331@gmail.com,6,216,1,15,0
efi127@google.com,6,212,0,18,0
eli399@google.com,15,68,1,20,1
avi44@outlook.com,5,245,0,15,0
david258@outlook.com,4,108,0,18,0
eli197@me.com,2,228,1,16,0
tamar78@aws.com,4,25,0,20,1
efi6@me.com,5,204,0,17,0
efi425@me.com,1,4,0,11,1
efi277@me.com,14,129,1,15,1
tamar373@google.com,1,88,1,16,0
efi73@google.com,4,245,0,18,0
eli415@me.com,2,31,0,20,1
eli99@gmail.com,2,189,0,17,0
efi300@gmail.com,2,97,1,19,0
eli113@google.com,12,146,1,65,1
avi335@aws.com,6,242,1,11,0
david297@me.com,22,90,1,34,1
avi380@aws.com,2,217,1,16,0
avi383@aws.com,1,84,0,11,0
david188@me.com,1,117,0,15,0
david350@outlook.com,4,6,1,19,1
tamar148@me.com,1,331,0,14,1
avi356@me.com,4,240,1,15,0
efi305@aws.com,6,175,0,12,0
eli199@me.com,3,244,0,10,0
tamar339@outlook.com,3,171,0,16,0
eli264@aws.com,4,214,0,13,0
efi59@aws.com,5,104,1,19,0
efi65@aws.com,4,80,0,13,0
eli250@gmail.com,1,230,0,19,0
eli291@google.com,2,226,0,13,0
david18@me.com,1,111,0,19,0
tamar105@me.com,5,90,1,14,0
eli147@gmail.com,1,118,1,20,0
tamar398@outlook.com,6,110,1,12,0
efi354@outlook.com,5,209,0,18,0
avi247@me.com,3,207,1,14,0
david249@gmail.com,5,98,0,11,0
efi186@outlook.com,3,141,1,12,0
tamar246@gmail.com,3,241,1,13,0
david328@me.com,6,130,0,14,0
tamar110@google.com,14,154,1,12,1
eli344@me.com,3,155,0,16,0
avi443@google.com,4,209,1,15,0
eli146@gmail.com,3,51,0,20,0
david308@me.com,6,217,1,15,0
efi25@outlook.com,3,77,0,16,0
eli189@gmail.com,6,200,1,17,0
david77@gmail.com,2,1018,0,17,1
david167@me.com,3,133,0,17,0
david447@google.com,4,246,1,18,0
efi176@google.com,2,217,0,20,0
avi142@me.com,2,109,1,17,0
avi264@aws.com,4,138,1,13,0
efi114@gmail.com,2,187,0,13,0
avi152@gmail.com,4,142,1,16,0
tamar429@google.com,2,65,0,20,0
avi404@google.com,6,58,1,14,0
david301@me.com,1,14,0,17,1
avi443@google.com,5,161,0,11,0
eli202@gmail.com,6,144,0,10,0
eli184@me.com,1,218,0,18,0
tamar297@google.com,6,202,0,16,0
efi288@me.com,6,132,1,11,0
avi254@gmail.com,2,36,0,13,1
avi340@gmail.com,2,133,1,17,0
avi205@me.com,5,233,1,10,0
david334@gmail.com,6,114,0,13,0
efi419@outlook.com,4,201,0,20,0
david19@aws.com,1,125,1,17,0
avi252@outlook.com,3,190,0,10,0
avi160@google.com,2,100,0,14,0
david30@gmail.com,6,146,1,18,0
eli247@outlook.com,1,583,1,11,1
tamar43@gmail.com,1,183,1,18,0
avi251@gmail.com,3,95,1,13,0
david345@outlook.com,3,235,1,16,0
tamar133@gmail.com,2,7,0,12,1
efi220@gmail.com,2,1021,0,14,1
efi399@me.com,2,37,0,11,1
eli396@gmail.com,6,54,0,14,0
efi99@me.com,5,87,1,20,0
avi277@google.com,4,158,0,17,0
eli275@google.com,4,111,1,17,0
avi41@gmail.com,5,214,1,12,0
eli390@outlook.com,4,174,1,10,0
tamar368@me.com,6,56,0,12,0
eli286@aws.com,6,231,0,19,0
david272@gmail.com,1,98,1,17,0
tamar270@aws.com,4,83,1,13,0
david257@outlook.com,3,94,1,15,0
avi339@me.com,5,107,0,12,0
eli20@outlook.com,3,120,0,19,0
efi208@me.com,3,81,1,15,0
david104@gmail.com,1,135,0,20,0
david387@aws.com,2,383,0,19,1
avi191@gmail.com,5,237,1,10,0
efi272@me.com,14,235,1,26,1
efi404@gmail.com,1,195,1,11,0
avi71@me.com,4,184,0,11,0
efi362@outlook.com,5,150,0,19,0
eli222@gmail.com,2,57,0,20,0
tamar409@gmail.com,2,428,1,20,1
tamar353@me.com,2,69,1,18,0
david9@gmail.com,5,168,1,15,0
eli173@google.com,3,63,1,18,0
eli342@gmail.com,21,133,0,33,1
tamar28@me.com,2,169,0,17,0
avi6@aws.com,1,343,1,13,1
efi49@aws.com,2,200,0,11,0
eli433@aws.com,5,107,0,20,0
david131@me.com,4,120,0,14,0
avi272@google.com,4,196,0,19,0
david5@google.com,3,82,1,10,0
eli64@me.com,2,112,0,10,0
david293@me.com,1,217,1,20,0
tamar426@gmail.com,3,206,0,14,0
eli117@outlook.com,11,33,1,17,1
efi364@aws.com,2,82,0,10,0
eli27@gmail.com,3,191,0,12,0
avi155@outlook.com,15,152,1,58,1
david330@gmail.com,3,173,0,14,0
eli366@aws.com,4,61,1,19,0
david140@google.com,2,189,1,10,0
david121@gmail.com,5,59,1,18,0
tamar47@aws.com,2,239,0,11,0
david219@gmail.com,4,87,0,19,0
tamar18@google.com,1,338,0,13,1
efi128@outlook.com,1,116,1,19,0
tamar44@me.com,13,96,1,64,1
david266@outlook.com,12,148,1,28,1
eli307@google.com,20,198,0,52,1
efi271@me.com,2,63,0,15,0
david97@me.com,2,211,0,17,0
tamar391@google.com,2,213,0,13,0
avi143@gmail.com,24,83,0,11,1
avi172@me.com,5,141,0,20,0
eli57@outlook.com,5,216,0,10,0
avi147@gmail.com,2,210,0,12,0
tamar445@google.com,6,246,0,14,0
david326@me.com,5,143,1,20,0
eli256@google.com,2,162,1,15,0
avi255@me.com,6,191,0,19,0
david40@outlook.com,16,88,1,34,1
david67@outlook.com,5,54,1,18,0
david272@aws.com,1,656,1,10,1
efi291@me.com,4,135,0,13,0
efi373@outlook.com,2,54,0,10,0
tamar231@gmail.com,5,244,0,12,0
tamar98@aws.com,3,55,0,14,0
efi264@outlook.com,1,65,1,18,0
tamar212@outlook.com,5,137,0,19,0
avi305@gmail.com,6,185,0,20,0
eli365@outlook.com,5,142,1,10,0
avi130@google.com,2,118,1,12,0
eli374@gmail.com,4,173,0,13,0
tamar309@me.com,6,118,1,11,0
david293@google.com,2,206,0,20,0
efi97@me.com,19,176,0,48,1
tamar308@me.com,3,152,1,11,0
david345@gmail.com,4,184,1,14,0
avi14@me.com,4,11,1,18,1
avi386@google.com,2,54,0,18,0
avi263@gmail.com,1,218,1,17,0
tamar436@google.com,1,415,0,18,1
tamar407@aws.com,1,144,0,16,0
efi100@gmail.com,1,669,0,20,1
efi419@google.com,15,33,0,18,1
tamar235@gmail.com,5,60,0,11,0
efi332@google.com,4,154,1,19,0
tamar280@aws.com,3,206,1,16,0
efi68@aws.com,6,72,0,13,0
efi123@google.com,4,54,0,16,0
efi229@aws.com,17,31,1,11,1
eli4@gmail.com,3,191,1,18,0
eli388@me.com,4,234,1,11,0
david364@me.com,2,210,1,10,0
david319@aws.com,5,215,1,13,0
avi12@google.com,3,223,1,17,0
eli107@google.com,1,130,1,11,0
avi310@me.com,5,192,1,19,0
tamar408@aws.com,3,152,0,17,0
eli390@aws.com,24,95,0,50,1
eli240@outlook.com,15,27,1,54,1
david218@outlook.com,1,199,1,14,0
eli15@google.com,3,123,1,16,0
efi68@google.com,5,81,0,15,0
david13@gmail.com,1,219,1,18,0
david395@google.com,2,867,0,13,1
tamar146@google.com,1,136,0,10,0
eli142@aws.com,1,166,1,16,0
eli283@me.com,2,96,0,16,0
eli257@google.com,1,108,0,17,0
david394@me.com,2,52,0,14,0
david380@me.com,1,170,0,17,0
tamar224@me.com,5,151,1,16,0
efi106@google.com,14,123,1,11,1
david125@gmail.com,5,250,0,13,0
david332@outlook.com,22,161,1,10,1
avi34@gmail.com,21,204,0,11,1
avi223@gmail.com,14,82,0,13,1
david101@aws.com,4,55,1,11,0
efi419@outlook.com,2,667,1,20,1
eli438@me.com,2,50,0,17,0
eli271@me.com,24,126,1,11,1
david422@google.com,1,52,0,11,0
eli185@gmail.com,1,107,1,12,0
efi81@me.com,6,128,1,15,0
efi181@google.com,3,149,0,15,0
tamar188@google.com,6,242,1,11,0
avi191@gmail.com,3,86,1,13,0
avi281@outlook.com,2,18,0,17,1
david289@gmail.com,3,62,0,11,0
tamar307@aws.com,2,175,0,15,0
david96@me.com,4,85,0,16,0
eli269@gmail.com,21,158,1,12,1
david14@me.com,3,155,0,15,0
avi43@me.com,3,219,1,19,0
tamar344@outlook.com,6,231,0,15,0
eli388@gmail.com,3,83,0,11,0
avi283@google.com,20,34,1,10,1
david190@aws.com,3,238,0,10,0
tamar88@gmail.com,4,167,0,10,0
eli28@aws.com,5,116,0,13,0
david244@google.com,1,82,0,17,0
eli297@aws.com,2,69,0,11,0
david253@me.com,4,194,1,14,0
eli298@me.com,1,549,0,12,1
efi127@me.com,2,87,0,20,0
tamar135@aws.com,5,93,1,15,0
david440@aws.com,18,87,0,16,1
avi214@outlook.com,2,100,1,13,0
efi454@google.com,2,172,1,19,0
david258@gmail.com,2,54,1,13,0
avi151@aws.com,4,145,0,20,0
tamar429@google.com,16,89,1,30,1
avi301@aws.com,1,221,1,19,0
efi90@outlook.com,6,74,0,19,0
avi264@aws.com,4,166,0,14,0
eli66@aws.com,4,116,1,17,0
efi357@outlook.com,1,845,0,12,1
david439@google.com,4,56,0,20,0
tamar217@outlook.com,1,211,0,12,0
david295@google.com,2,69,0,17,0
david258@outlook.com,12,230,0,33,1
efi167@aws.com,5,164,0,18,0
eli334@outlook.com,4,184,0,15,0
eli308@google.com,2,134,1,19,0
efi324@google.com,5,226,1,15,0
eli242@gmail.com,1,150,0,18,0
david45@aws.com,5,133,1,13,0
eli304@me.com,14,26,1,11,1
avi334@google.com,1,138,1,13,0
avi5@gmail.com,1,145,1,16,0
avi69@aws.com,5,107,0,19,0
avi317@aws.com,2,98,1,15,0
avi41@me.com,6,228,0,14,0
eli426@google.com,6,213,1,15,0
efi366@gmail.com,2,361,0,20,1
david444@gmail.com,6,227,0,19,0
eli41@outlook.com,4,184,0,13,0
tamar444@aws.com,22,206,0,18,1
efi334@outlook.com,4,246,0,19,0
efi379@outlook.com,2,127,0,16,0
avi185@outlook.com,6,205,0,18,0
avi407@gmail.com,1,175,0,13,0
efi451@gmail.com,2,220,1,19,0
avi442@gmail.com,22,132,1,30,1
avi57@me.com,11,14,0,26,1
efi129@gmail.com,22,242,0,46,1
david193@aws.com,1,97,1,17,0
efi95@me.com,2,197,1,18,0
efi55@gmail.com,3,2,1,15,1
david267@gmail.com,2,85,0,13,0
eli177@me.com,1,196,1,13,0
david367@gmail.com,2,204,0,17,0
efi272@google.com,5,152,1,10,0
david115@google.com,1,158,1,15,0
avi178@google.com,4,55,0,15,0
eli273@me.com,1,134,0,20,0
efi29@aws.com,2,163,0,20,0
avi393@gmail.com,18,95,1,11,1
tamar395@aws.com,4,4,1,18,1
david27@aws.com,11,74,1,26,1
david403@me.com,1,111,1,11,0
tamar259@me.com,3,189,1,11,0
david43@aws.com,2,5,0,10,1
eli352@google.com,21,173,1,25,1
tamar312@aws.com,5,166,1,11,0
eli42@google.com,6,217,0,16,0
tamar163@google.com,2,446,1,14,1
eli336@aws.com,22,227,1,20,1
tamar290@google.com,24,159,0,15,1
efi384@me.com,3,85,0,11,0
david450@me.com,2,246,1,14,0
eli84@outlook.com,4,241,1,20,0
tamar8@outlook.com,21,198,0,10,1
david79@me.com,2,61,0,11,0
avi350@aws.com,11,245,1,68,1
eli47@google.com,1,117,0,15,0
david336@me.com,1,148,0,13,0
efi2@gmail.com,6,143,0,12,0
efi214@outlook.com,11,78,1,16,1
david150@me.com,6,182,1,15,0
avi337@aws.com,1,107,1,13,0
eli332@gmail.com,1,157,1,20,0
eli123@gmail.com,5,187,0,15,0
avi337@outlook.com,2,143,0,12,0
tamar265@me.com,19,206,1,36,1
tamar224@gmail.com,2,341,1,14,1
tamar271@gmail.com,5,103,1,10,0
efi171@google.com,2,1055,0,13,1
tamar161@gmail.com,2,166,1,10,0
eli305@me.com,3,165,1,17,0
eli184@gmail.com,19,150,1,19,1
efi243@gmail.com,1,104,1,14,0
tamar318@gmail.com,17,97,1,25,1
efi371@me.com,6,85,1,18,0
david153@me.com,1,64,1,19,0
david440@gmail.com,14,205,0,12,1
avi287@gmail.com,3,248,1,18,0
tamar154@aws.com,3,27,1,14,1
david115@outlook.com,18,21,0,18,1
david387@aws.com,1,11,0,20,1
avi68@outlook.com,1,82,1,11,0
avi116@aws.com,3,80,0,13,0
efi72@gmail.com,3,228,0,11,0
david65@google.com,11,84,0,15,1
efi30@aws.com,17,250,1,18,1
eli82@aws.com,1,228,0,20,0
tamar187@google.com,4,219,1,17,0
tamar163@google.com,4,155,0,14,0
david416@outlook.com,3,203,0,12,0
eli136@outlook.com,1,106,1,17,0
avi310@aws.com,16,225,1,10,1
david353@me.com,5,243,1,15,0
david44@google.com,1,710,0,14,1
tamar222@me.com,1,79,0,10,0
david299@gmail.com,6,149,1,12,0
efi130@me.com,4,207,0,19,0
tamar134@aws.com,2,105,0,13,0
david151@aws.com,5,182,0,20,0
david175@outlook.com,3,75,0,16,0
efi272@me.com,2,117,1,15,0
eli229@aws.com,22,76,0,37,1
david64@me.com,4,241,1,18,0
david291@aws.com,6,160,1,11,0
avi396@aws.com,24,130,0,30,1
david283@me.com,4,121,1,20,0
david267@aws.com,2,25,0,10,1
efi300@aws.com,4,119,1,13,0
tamar447@gmail.com,11,28,0,13,1
efi194@outlook.com,1,176,0,13,0
tamar109@google.com,3,28,1,11,1
david172@outlook.com,22,15,0,12,1
david320@google.com,2,565,1,20,1
tamar170@outlook.com,2,125,1,16,0
tamar212@me.com,24,211,0,26,1
tamar78@me.com,3,162,0,16,0
avi125@outlook.com,2,104,1,11,0
tamar367@google.com,5,246,0,18,0
avi21@aws.com,3,97,0,13,0
avi364@google.com,4,167,1,13,0
tamar61@me.com,5,155,1,16,0
david169@outlook.com,5,135,1,19,0
efi135@outlook.com,4,162,0,17,0
david110@me.com,15,107,0,19,1
avi449@outlook.com,2,241,0,20,0
avi89@outlook.com,4,104,1,13,0
avi194@google.com,1,5,1,18,1
tamar165@google.com,4,158,0,15,0
efi128@me.com,5,82,0,16,0
avi58@me.com,6,90,1,17,0
efi118@outlook.com,3,109,1,19,0
tamar172@outlook.com,3,21,1,13,1
eli264@gmail.com,6,72,1,20,0
david335@aws.com,3,21,0,17,1
tamar351@me.com,2,468,1,16,1
tamar367@gmail.com,13,184,0,61,1
tamar286@outlook.com,5,136,0,19,0
efi343@me.com,2,625,0,17,1
tamar397@gmail.com,5,91,0,16,0
eli282@aws.com,5,71,0,11,0
tamar406@google.com,4,23,0,19,1
efi177@me.com,2,107,1,13,0
avi432@aws.com,1,112,1,13,0
avi324@me.com,5,222,1,11,0
eli72@outlook.com,2,153,1,14,0
eli45@gmail.com,1,110,0,16,0
avi11@me.com,6,176,0,16,0
david225@outlook.com,6,137,0,12,0
efi291@me.com,1,4,1,19,1
tamar443@google.com,5,174,0,20,0
avi180@google.com,3,191,1,19,0
avi373@me.com,5,219,0,16,0
avi25@aws.com,4,22,0,11,1
david136@google.com,2,68,0,13,0
avi208@me.com,1,132,0,19,0
eli89@google.com,1,750,1,16,1
avi159@google.com,2,1068,0,15,1
david438@outlook.com,3,144,1,18,0
avi206@google.com,4,112,1,16,0
eli167@me.com,2,191,0,18,0
eli339@me.com,5,188,1,16,0
efi399@google.com,11,242,1,32,1
tamar278@aws.com,1,344,1,14,1
eli314@google.com,2,90,0,14,0
david69@google.com,6,174,0,12,0
david293@google.com,1,848,0,14,1
tamar247@gmail.com,6,202,0,11,0
eli184@me.com,3,100,1,17,0
avi399@outlook.com,17,98,1,12,1
tamar450@me.com,4,17,0,13,1
eli401@me.com,4,190,0,16,0
david226@outlook.com,1,125,0,12,0
efi261@me.com,2,783,1,17,1
avi269@outlook.com,3,94,1,15,0
david368@aws.com,3,119,0,11,0
avi234@google.com,4,8,1,15,1
david133@gmail.com,2,106,1,13,0
tamar207@me.com,1,100,1,16,0
efi185@google.com,6,143,0,14,0
tamar114@gmail.com,1,185,1,15,0
eli262@gmail.com,6,215,1,12,0
tamar285@me.com,4,120,1,11,0
eli16@google.com,3,110,1,14,0
efi60@me.com,2,218,1,14,0
david419@google.com,5,205,1,11,0
avi64@gmail.com,20,17,1,51,1
efi18@aws.com,5,118,1,17,0
david72@google.com,5,71,1,15,0
david357@me.com,3,110,0,19,0
david350@aws.com,5,151,1,11,0
avi92@outlook.com,1,147,0,19,0
eli422@google.com,2,645,1,13,1
eli362@me.com,1,31,0,19,1
david264@outlook.com,4,164,0,20,0
efi10@google.com,4,176,0,10,0
david202@aws.com,1,175,0,17,0
tamar436@gmail.com,3,112,0,14,0
tamar374@aws.com,6,158,0,14,0
tamar63@aws.com,18,61,1,13,1
eli164@gmail.com,14,224,0,35,1
tamar412@outlook.com,5,77,0,16,0
efi58@me.com,2,35,1,17,1
tamar89@gmail.com,1,244,1,16,0
efi265@outlook.com,2,124,1,12,0
david54@google.com,2,391,1,12,1
eli256@me.com,1,801,1,11,1
eli252@aws.com,6,183,0,16,0
efi253@google.com,4,177,0,19,0
tamar113@aws.com,1,30,0,12,1
efi4@outlook.com,5,53,0,16,0
avi37@me.com,6,50,0,20,0
david368@aws.com,2,61,1,18,0
avi184@aws.com,3,43,1,18,1
avi367@me.com,5,189,1,17,0
tamar339@me.com,19,67,1,20,1
tamar184@google.com,2,42,0,14,1
eli32@aws.com,5,184,1,14,0
tamar434@outlook.com,4,145,0,18,0
efi132@me.com,3,196,1,12,0
tamar455@outlook.com,13,155,0,10,1
tamar426@me.com,2,74,1,19,0
avi177@outlook.com,5,111,1,20,0
eli153@google.com,14,20,1,67,1
avi327@aws.com,18,10,0,53,1
avi285@gmail.com,3,247,1,17,0
avi108@aws.com,4,197,1,13,0
avi393@google.com,3,106,0,15,0
tamar285@aws.com,3,129,0,12,0
tamar384@aws.com,2,172,0,18,0
david42@outlook.com,6,80,0,11,0
eli146@aws.com,6,248,0,20,0
david147@outlook.com,5,131,0,10,0
avi239@aws.com,5,71,1,11,0
eli87@aws.com,5,205,1,12,0
david72@me.com,12,22,1,38,1
eli30@me.com,12,127,1,13,1
eli362@gmail.com,5,54,0,13,0
eli77@google.com,15,143,1,11,1
efi311@outlook.com,2,960,0,12,1
tamar18@me.com,1,219,0,19,0
eli59@gmail.com,6,124,1,11,0
avi254@google.com,20,96,1,15,1
david56@me.com,6,51,1,14,0
avi303@me.com,3,135,0,10,0
eli10@google.com,4,21,1,13,1
tamar450@google.com,2,29,0,17,1
david237@outlook.com,1,104,1,10,0
tamar158@outlook.com,3,55,0,18,0
david247@outlook.com,4,89,0,19,0
tamar204@gmail.com,1,111,1,13,0
david18@outlook.com,6,218,0,20,0
efi236@google.com,5,58,1,19,0
eli279@me.com,3,200,0,11,0
david27@outlook.com,1,214,0,16,0
david205@google.com,11,221,0,14,1
eli325@me.com,14,52,1,34,1
david414@aws.com,2,155,1,14,0
tamar427@outlook.com,2,76,1,14,0
david366@google.com,5,184,0,19,0
avi395@outlook.com,4,172,0,12,0
avi157@gmail.com,1,266,1,18,1
eli446@google.com,3,97,0,10,0
avi192@google.com,11,20,1,20,1
efi174@aws.com,5,89,1,12,0
tamar188@outlook.com,4,121,0,15,0
tamar417@google.com,5,168,0,20,0
eli132@aws.com,23,121,0,39,1
eli241@outlook.com,6,209,1,13,0
efi202@outlook.com,2,91,0,14,0
avi327@gmail.com,5,226,1,12,0
tamar98@aws.com,20,191,1,16,1
david333@google.com,1,100,1,20,0
tamar31@me.com,4,186,1,14,0
avi451@gmail.com,14,76,0,18,1
david285@aws.com,4,21,1,20,1
david156@google.com,1,379,1,18,1
david140@aws.com,1,13,0,11,1
tamar65@outlook.com,4,92,1,10,0
avi182@gmail.com,1,98,0,13,0
efi200@google.com,1,34,1,10,1
tamar414@google.com,14,185,1,27,1
tamar275@aws.com,5,94,1,17,0
david300@gmail.com,10,121,1,17,1
efi41@gmail.com,19,32,1,42,1
david59@outlook.com,11,101,1,36,1
david341@google.com,6,201,0,16,0
tamar397@aws.com,6,137,1,19,0
avi249@me.com,12,72,1,14,1
efi455@gmail.com,3,242,1,18,0
tamar225@google.com,1,179,0,12,0
eli398@outlook.com,6,181,1,14,0
tamar416@outlook.com,2,807,0,16,1
tamar438@gmail.com,5,217,0,10,0
eli391@google.com,1,90,0,10,0
eli415@outlook.com,2,81,0,10,0
eli38@outlook.com,5,207,0,11,0
avi135@google.com,2,247,1,15,0
tamar226@gmail.com,3,81,0,12,0
david115@me.com,6,73,1,19,0
tamar334@aws.com,1,143,0,17,0
tamar79@google.com,2,17,0,19,1
eli282@gmail.com,3,210,1,15,0
eli412@aws.com,1,132,1,11,0
efi70@gmail.com,3,168,0,12,0
avi167@gmail.com,6,243,1,17,0
efi285@gmail.com,3,227,1,17,0
eli187@outlook.com,16,51,1,17,1
efi76@me.com,3,247,1,16,0
eli429@google.com,1,640,1,18,1
avi201@outlook.com,2,129,1,16,0
avi71@gmail.com,6,161,1,19,0
david79@gmail.com,4,106,0,10,0
avi410@gmail.com,4,56,0,20,0
david396@gmail.com,2,135,0,10,0
efi50@aws.com,2,164,0,13,0
tamar41@aws.com,3,236,1,17,0
efi269@google.com,4,19,1,17,1
eli328@outlook.com,6,167,1,11,0
avi176@gmail.com,11,248,1,14,1
david248@google.com,1,229,1,14,0
david114@aws.com,5,101,0,19,0
efi201@aws.com,1,4,1,16,1
eli380@google.com,5,216,0,14,0
david12@gmail.com,2,140,1,15,0
david63@google.com,6,141,1,17,0
avi352@me.com,6,115,1,11,0
tamar233@gmail.com,6,153,0,18,0
avi431@google.com,1,208,1,17,0
avi133@me.com,10,22,0,17,1
avi178@outlook.com,1,1022,0,19,1
avi294@google.com,3,125,1,20,0
eli171@google.com,2,203,0,16,0
efi288@me.com,4,136,0,17,0
avi385@google.com,1,85,0,10,0
tamar366@aws.com,4,12,0,19,1
david430@gmail.com,2,211,1,10,0
david134@gmail.com,1,230,0,15,0
avi205@google.com,1,229,1,17,0
efi315@me.com,17,34,1,10,1
tamar322@aws.com,10,102,1,67,1
tamar167@gmail.com,3,233,1,16,0
eli316@aws.com,6,245,0,11,0
avi288@me.com,5,106,0,14,0
david269@gmail.com,2,1027,0,12,1
avi279@aws.com,3,131,1,14,0
efi251@outlook.com,1,142,1,14,0
tamar295@aws.com,4,184,1,12,0
tamar282@gmail.com,5,106,0,16,0
avi210@outlook.com,1,599,0,14,1
avi383@me.com,5,172,1,20,0
efi381@google.com,21,51,0,18,1
avi329@aws.com,6,91,0,10,0
eli154@aws.com,6,95,1,12,0
eli361@aws.com,3,241,0,17,0
tamar382@gmail.com,5,143,1,19,0
efi301@gmail.com,5,209,1,12,0
tamar155@google.com,24,91,0,20,1
